,CUST_NO,VISITDATE,PAGE
0,AZTHNWQ_LXMGIMYG,9462,http://www.esunbank.com.tw/gygrt/e2c/iougkjr/
1,AZTHNWQ_LXMGIMYG,9528,https://www.esunbank.com.tw/gygrt/wgdqth/gsxrioof/
2,3PY428CHUQBULFIG,9458,https://www.esunbank.com.tw/edrn/deoxt/rgws-cgrtgu
3,JVPD1QUJWVLMZU8S,9457,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
4,JVPD1QUJWVLMZU8S,9485,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
5,JVPD1QUJWVLMZU8S,9471,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
6,JVPD1QUJWVLMZU8S,9455,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
7,JVPD1QUJWVLMZU8S,9469,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
8,JVPD1QUJWVLMZU8S,9466,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
9,6STXUMWZRDCGSDDU,9480,https://www.esunbank.com.tw/gygrt/qodr/fj/
10,YV7EFLVIAQER2KRU,9479,http://www.esunbank.com.tw/gygrt/qodr/fj/
11,KCAFRIBOU9F2SSJW,9511,https://www.esunbank.com.tw/gygrt/cugfkt/1060321pda_dppqg_s/shop.htm
12,KCAFRIBOU9F2SSJW,9491,https://www.esunbank.com.tw/gygrt/wgdqth/gsxrioof/
13,JDVF4U8JUANEID68,9535,https://www.esunbank.com.tw/edrn/deoxt/drroxrcgmgrt/drroxrcgmgrt
14,JDVF4U8JUANEID68,9537,https://www.esunbank.com.tw/edrn/deoxt/drroxrcgmgrt/drroxrcgmgrt
15,JDVF4U8JUANEID68,9535,https://www.esunbank.com.tw/gygrt/mgmegutgdm/sxggr/
16,RR7JPKHFOQJ5RAKC,9486,http://www.esunbank.com.tw/gygrt/e2c/iougkjr/
17,YXAILWW0FSCXRY2A,9520,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/iougkjr-gzchdrjg-udtgs
18,QAQSXBTCGA0SRGAO,9506,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
19,QAQSXBTCGA0SRGAO,9504,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
20,QAQSXBTCGA0SRGAO,9507,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
21,QAQSXBTCGA0SRGAO,9507,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
22,QAQSXBTCGA0SRGAO,9518,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
23,QAQSXBTCGA0SRGAO,9527,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
24,QAQSXBTCGA0SRGAO,9526,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
25,QAQSXBTCGA0SRGAO,9525,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
26,QAQSXBTCGA0SRGAO,9526,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
27,QAQSXBTCGA0SRGAO,9534,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
28,QAQSXBTCGA0SRGAO,9533,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
29,QAQSXBTCGA0SRGAO,9534,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
30,QAQSXBTCGA0SRGAO,9519,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
31,QAQSXBTCGA0SRGAO,9528,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
32,QAQSXBTCGA0SRGAO,9534,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
33,QAQSXBTCGA0SRGAO,9505,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/iougkjr-sguykcg/fgopskt-gygrt
34,QAQSXBTCGA0SRGAO,9515,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/iougkjr-sguykcg/fgopskt-gygrt
35,QAQSXBTCGA0SRGAO,9512,https://www.esunbank.com.tw/gygrt/iougz/mdungtkrj/puomotkor/
36,QAQSXBTCGA0SRGAO,9515,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/iougkjr_cortgrt/sktxdtkor
37,QAQSXBTCGA0SRGAO,9515,https://www.esunbank.com.tw/gygrt/iougz/sktxdtkor/tudygq/
38,QAQSXBTCGA0SRGAO,9515,https://www.esunbank.com.tw/gygrt/wgdqth/gsxrioof/
39,U7SFOZSXFCIPAJV4,9532,http://www.esunbank.com.tw/gygrt/qodr/fj/
40,UT8OOUMHJ0JVEDMS,9465,https://www.esunbank.com.tw/edrn/pgusordq/cugfkt-cduf/fkscoxrt/shopkrio
41,UT8OOUMHJ0JVEDMS,9488,https://www.esunbank.com.tw/edrn/pgusordq/cugfkt-cduf/fkscoxrt/shopkrio
42,UT8OOUMHJ0JVEDMS,9488,https://www.esunbank.com.tw/edrn/pgusordq/cugfkt-cduf/fkscoxrt/shopkrio
43,OQLYYITWZWSZTH4M,9495,https://www.esunbank.com.tw/edrn/deoxt/drroxrcgmgrt/drroxrcgmgrt
44,XOU4AV774LAWP_K4,9501,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/udtg/iougz/gzchdrjg-udtg-chdut
45,XOU4AV774LAWP_K4,9525,http://www.esunbank.com.tw/gygrt/qodr/hoxsg/qodr/
46,XOU4AV774LAWP_K4,9535,https://www.esunbank.com.tw/gygrt/cugfkt/1060222gcdufqodr/krfgz.htm
47,XOU4AV774LAWP_K4,9515,https://www.esunbank.com.tw/gygrt/cugfkt/1060222gcdufqodr/krfgz.htm
48,XOU4AV774LAWP_K4,9520,https://www.esunbank.com.tw/gygrt/e2c/cduf/tudygqcduf/
49,DX-ULHMCEG2BBHV4,9459,http://www.esunbank.com.tw/gygrt/e2c/iougkjr/
50,DX-ULHMCEG2BBHV4,9477,https://www.esunbank.com.tw/edrn/pgusordq/cugfkt-cduf/fkscoxrt/shopkrio
51,DX-ULHMCEG2BBHV4,9476,https://www.esunbank.com.tw/edrn/pgusordq/cugfkt-cduf/fkscoxrt/shopkrio
52,DX-ULHMCEG2BBHV4,9535,https://www.esunbank.com.tw/gygrt/iougz/mdungtkrj/hoqkfda/
53,DX-ULHMCEG2BBHV4,9489,https://www.esunbank.com.tw/gygrt/iougz/sktxdtkor/tudygq/
54,DX-ULHMCEG2BBHV4,9485,https://www.esunbank.com.tw/gygrt/iougz/sktxdtkor/tudygq/
55,DX-ULHMCEG2BBHV4,9508,https://www.esunbank.com.tw/gygrt/iougz/sktxdtkor/izixrf/
56,0V9LA8JSWLBAGWTC,9518,http://www.esunbank.com.tw/gygrt/e2c/iougkjr/
57,13BNH7ZGAXJ3OX8S,9449,http://www.esunbank.com.tw/gygrt/pke/grtua/krfgz.htm
58,8X6PYOF1ASTUK0G4,9471,https://www.esunbank.com.tw/gygrt/se/fj/
59,R-TRDUV3GHTID31I,9501,https://www.esunbank.com.tw/gygrt/e2c/iougkjr/
60,R-TRDUV3GHTID31I,9484,https://www.esunbank.com.tw/gygrt/qodr/hoxsg/sgcorfdua/pdjg.htmq
61,R-TRDUV3GHTID31I,9512,https://www.esunbank.com.tw/gygrt/e2c/cduf/tudygqcduf/
62,KOBFBOOT4D5IUOM4,9473,https://www.esunbank.com.tw/edrn/pgusordq/fgposkt/iougkjr-sguykcg/fgopskt-gygrt
63,3KQEIBZKZTBTQFLM,9484,http://www.esunbank.com.tw/gygrt/e2c/iougkjr/
64,3KQEIBZKZTBTQFLM,9506,http://www.esunbank.com.tw/gygrt/qodr/fc/stdutxp/
65,6MIZ4CKFTHNO1JSG,9483,https://www.esunbank.com.tw/gygrt/e2c/iougkjr/
66,0DG_W89PPN95DLVO,9525,https://www.esunbank.com.tw/edrn/deoxt/qocdtkors/iougkjr-cxuugrca-dtm
67,STQVFXNALLWQQVN4,9499,https://www.esunbank.com.tw/gygrt/cugfkt/1070123schooq/
68,J0DDOZLDFF03QBKW,9527,https://www.esunbank.com.tw/gygrt/iougz/mdungtkrj/iqdshsdqg/
69,CMRKCFYMPVUYGYZ4,9458,http://www.esunbank.com.tw/gygrt/qodr/fj/
